127.0.0.1 - - [08/Jan/2019:15:30:06 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:06 +0900] "GET /BBS/ HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:27 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [08/Jan/2019:15:30:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:16:10 +0900] "GET /BBS/ HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:16:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:16:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:36:36 +0900] "GET /BBS/ HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:36:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:36:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:37:17 +0900] "GET /BBS/ HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:37:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [08/Jan/2019:20:37:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2265
